spider ant ophraella paria aphids hesperotettix other_grasshopper plant_hoppers micrutalis cryptolaemus ladybug_septempunctata ladybug_cycloneda ladybug_Naemia smallwhite_ladybug pupa larva
1.15 1.35 0 0.05 25.2 0.85 0 0.25 0.9 0.9 0 0.25 0 0 0 0
0.526315789473684 0.157894736842105 0 0 171.578947368421 0.0526315789473684 0 0 0.0526315789473684 1.10526315789474 0 0 0 0.263157894736842 0 0
0.05 0.3 0 0 18.7 0.55 0.15 0.3 0.2 0.3 0 0.05 0 0.3 0 0
0.5 0.5 0 0 66.75 1.5 0.6 0.15 0.1 0.25 0 0.25 0 0.05 0.05 0.3
0.7 0 0 0 33 0.5 0.05 0.05 0.05 0.05 0 0 0 0.05 0 0
0.5 0.05 0 0 19.1 3.15 1.2 0.05 0 0 0 0 0 0.05 0 0
0.7 0.95 0 0 67.15 1.75 0.2 0.4 0.3 0.1 0 0 0 0 0 0
0.8 0.15 0 0.05 84.55 2.65 0.9 0 0.35 0.05 0 0.1 0 0 0 0.2
0.3 0.25 0.05 8.7 15.7 0.8 0 0.25 0.05 0 0 0.05 0 0 0 0
0.6 0.5 0.1 0.1 37 1.8 0.15 0.1 0.8 0.95 0 0.1 0 0 0 0
0.8 0.55 0 0 38.1 1.75 0.7 0.2 0.15 0.05 0 0.1 0 0 0 0.1
0.8 0.2 0 0.15 55.7 2.95 1 0.7 0.15 0.35 0 0.5 0 0 0.05 0.2
1.05 0.05 0 0 61.6 1.8 0.35 0.2 0 0.25 0 0.05 0 0 0 0
0.25 0.25 0 0 50.1 0.1 0 0.15 1.4 0.55 0 0.05 0 0 0 0.1
0.6 0.05 0 0 112.45 0 0 0 0.85 0.35 0 0.1 0 0.15 0 0
0.85 0.05 0 0 8.6 0.45 0 0 0.1 0.4 0 0.05 0 0.3 0 0
0.7 0.05 0 0 35.05 0.65 0 0.05 0.15 0.2 0 0.15 0 0 0 0.35
0.85 0.1 0 0 35.6 0.5 0.2 0.1 0.15 0.4 0 0 0 0 0 0.05
0.4 2.5 0 0 80.2 1.8 0.05 0.05 0 0.1 0 0 0 0 0 0
0.25 0.05 0 0 44.65 1.3 0 0.15 0.55 0.2 0 0.15 0 0 0.05 0.1
0.736842105263158 0.157894736842105 0.0526315789473684 3.15789473684211 6.89473684210526 0.578947368421053 0.368421052631579 2.21052631578947 1.05263157894737 0 0 0.0526315789473684 0 0 0 0
0.526315789473684 0.0526315789473684 0.0526315789473684 3.63157894736842 4.26315789473684 0.473684210526316 0.315789473684211 1.73684210526316 0.105263157894737 0 0 0 0 0 0 0
0.842105263157895 0.0526315789473684 0.0526315789473684 10 1.42105263157895 0.473684210526316 0.157894736842105 0.263157894736842 0.263157894736842 0 0 0 0 0 0 0
0.842105263157895 0 0 4.47368421052632 1 0.473684210526316 1.10526315789474 0.105263157894737 0.263157894736842 0 0 0 0 0 0 0
1.36842105263158 0.0526315789473684 0 9.68421052631579 4.57894736842105 0.263157894736842 0.473684210526316 0.210526315789474 0.631578947368421 0 0 0 0 0 0 0
0.157894736842105 0.421052631578947 0.0526315789473684 1.10526315789474 4.36842105263158 0.736842105263158 0.315789473684211 0.789473684210526 1.52631578947368 0 0 0 0 0 0 0
0.789473684210526 0.105263157894737 0 3 2.26315789473684 0.368421052631579 0.789473684210526 0.368421052631579 0.894736842105263 0 0 0 0 0 0 0
0.526315789473684 0.473684210526316 0 3.10526315789474 0.842105263157895 0.578947368421053 0.421052631578947 0.0526315789473684 0.263157894736842 0.0526315789473684 0 0 0 0 0 0
1.26315789473684 1.21052631578947 0 1.42105263157895 1.42105263157895 2.26315789473684 0.421052631578947 1.89473684210526 0.526315789473684 0 0 0 0 0 0 0
0.842105263157895 0.631578947368421 0 2.21052631578947 1.36842105263158 1.42105263157895 0.842105263157895 0.263157894736842 0.315789473684211 0 0 0 0 0 0 0
0.578947368421053 0.368421052631579 0 0.421052631578947 70.4210526315789 1.47368421052632 0.0526315789473684 0.578947368421053 0.526315789473684 0.105263157894737 0 0.105263157894737 0 0 0 0
0.842105263157895 0.631578947368421 0 7.63157894736842 42.1052631578947 1.57894736842105 0.105263157894737 3.15789473684211 1.21052631578947 0.105263157894737 0 0.210526315789474 0 0.105263157894737 0 0.263157894736842
0.421052631578947 0.0526315789473684 0 0 6.73684210526316 0.684210526315789 0.157894736842105 1.15789473684211 0.789473684210526 0 0 0 0 0 0 0
0.631578947368421 0 0 0 2.36842105263158 1 0.473684210526316 1.73684210526316 1.52631578947368 0 0 0 0 0 0 0
0.578947368421053 0.263157894736842 0.0526315789473684 0 26.3157894736842 3.26315789473684 0.789473684210526 1 2.42105263157895 0.0526315789473684 0 0.0526315789473684 0 0 0 0
0.368421052631579 1.10526315789474 0 0.105263157894737 41.5789473684211 1 0.789473684210526 1.36842105263158 1.05263157894737 0.315789473684211 0 0 0 0 0 0
0.894736842105263 2.26315789473684 0.0526315789473684 0.263157894736842 31.8421052631579 2.94736842105263 0.684210526315789 0.789473684210526 2.89473684210526 0.157894736842105 0 0.0526315789473684 0 0 0 0
1.31578947368421 0.526315789473684 0 0.368421052631579 16.1578947368421 3.21052631578947 0.473684210526316 0.842105263157895 4.47368421052632 0.0526315789473684 0 0 0 0 0 0
