site_code patch_code latitude longitude length width area hight distance_to_nearest shade_level noon_shade surround_mud surround_borrichia surround_dry surround_grass salinity
1 1 31.39913407 -81.2872398 2.17 0.67 1.4539 1.16 1.95 0 0 0.4 0.6 0 0 9.79020979
1 2 31.39848452 -81.28723022 1.44 1.65 2.376 1.1 4.85 5 0.95 1 0 0 0 48.66180049
1 3 31.39803849 -81.28699972 0.49 0.74 0.3626 1.1 1.79 4 0.7 0.4 0.6 0 0 47.23346829
1 4 31.39766668 -81.28677073 1.55 2.05 3.1775 1.14 4.82 3 0.5 0.5 0.5 0 0 22.76843467
1 5 31.39733936 -81.28657941 0.46 0.49 0.2254 1.14 16.65 5 0.9 0 1 0 0 39.69754253
1 6 31.39699301 -81.28639832 0.93 0.9 0.837 0.87 5.15 4 0.8 1 0 0 0 32
1 7 31.39685119 -81.28632844 1.42 1.12 1.5904 1.08 1.12 0 0 1 0 0 0 25.48725637
1 8 31.39663419 -81.28621406 2.15 0.99 2.1285 1.25 14.36 2 0.3 1 0 0 0 0
1 10 31.39584454 -81.28576045 0.64 0.77 0.4928 1 1.23 0 0 0.3 0.7 0 0 18.20940819
1 11 31.39539538 -81.28552909 0.99 0.74 0.7326 1.05 3.27 1 0 0 0 1 0 16.99029126
1 12 31.39528199 -81.28546331 1.31 1.59 2.0829 1 2.05 3 0.5 1 0 0 0 29.72399151
1 13 31.39524756 -81.28539957 2.85 1.87 5.3295 1.56 4.05 2 0.3 0.9 0.1 0 0 41.06145251
1 14 31.39505105 -81.2853181 1.09 0.68 0.7412 1.21 9.8 3 0.5 1 0 0 0 10.46859422
1 15 31.39986146 -81.28688765 1.65 0.88 1.452 1.26 3.55 3 0.6 0.8 0.2 0 0 26.49456522
1 16 31.39972801 -81.28701279 1.8 1.67 3.006 1 1.95 5 0.9 1 0 0 0 16.04278075
1 17 31.39908783 -81.28739721 0.75 1.45 1.0875 0.62 5.95 3 0.5 1 0 0 0 11.23595506
1 18 31.39836158 -81.28726667 0.55 0.4 0.22 0.95 1.6 1 0.5 1 0 0 0 10.43024772
1 19 31.39779749 -81.28695175 0.72 1.1 0.792 1 4.95 1 0.05 0.4 0.6 0 0 29.1767975
1 20 31.39638025 -81.28615803 0.65 0.62 0.403 0.85 2.06 4 0.7 1 0 0 0 37.22084367
1 21 31.39546211 -81.28560775 0.79 0.7 0.553 1.21 4.29 1 0 0.6 0.4 0 0 19.24839597
2 1 31.42008868 -81.28950155 1.26 1.3 1.638 1.26 0.95 0 0 0 0.5 0 0.5 18.08396125
2 2 31.41999971 -81.28951213 1.2 1 1.2 1.36 1.32 0 0 0 0.2 0 0.8 17.50972763
2 3 31.41997506 -81.28949369 0.7 0.82 0.574 1.33 0.72 0 0 0 0.1 0 0.9 0
2 5 31.4199468 -81.28946556 1.3 1.32 1.716 1.32 1.82 0 0 0 0 0 1 3.325415677
2 6 31.41991083 -81.28947496 0.8 1.5 1.2 1.28 2.75 0 0 0 0 0 1 3.512293026
2 7 31.41985327 -81.28950811 1.67 0.54 0.9018 1.79 1.66 0 0 0 0.1 0 0.9 19.1169777
2 8 31.41988112 -81.2894242 0.51 0.57 0.2907 0.9 1.6 0 0 0 0 0 1 2.631578947
2 9 31.41986903 -81.28940837 0.45 0.45 0.2025 0.88 0.66 0 0 0 0 0 1 0
2 11 31.41983295 -81.28937969 1.28 0.3 0.384 1.44 2.4 0 0 0 0 0 1 0
2 12 31.41979893 -81.28935625 1.56 1.11 1.7316 1.22 3.52 0 0 0 0 0 1 0
3 1 31.3899637 -81.2840868 1.6 1.23 1.968 1.65 3.6 0 0 0 0.8 0 0.2 43.61370717
3 2 31.38992264 -81.28422238 1.58 1.55 2.449 2.1 0.7 1 0.05 0 1 0 0 24.56140351
3 6 31.39037226 -81.28502525 1.06 0.92 0.9752 1.79 1.13 1 0.1 0 0.2 0 0.8 9.388412017
3 7 31.390404 -81.28503155 1.35 1.2 1.62 1.62 1.13 1 0.05 0 0.4 0 0.6 15.94230404
3 8 31.39042893 -81.28501659 1.75 1.1 1.925 1.59 3.5 1 0 0 0 0 1 8.96637609
3 9 31.39048172 -81.28503823 1 0.59 0.59 1.45 3 1 0 0 0 0 1 12.8346168
3 10 31.39065221 -81.28510529 1.55 1.7 2.635 1.36 4.17 0 0 0 0 1 0 5.372217959
3 11 31.39069239 -81.28514462 1.6 2.27 3.632 1.62 0.7 0 0 0 0 1 0 9.55196725
